"ID user ";"Length of proﬁle name";"Length of proﬁle description";"Number of tweets posted";"Age of the user account, in days";"Ratio of number of followings and followers";"Number of following";"Number of followers";"Frequence of tweets posted per day";"hashtags average";"mentions average";"links average";"Likes average per tweet"
"227038693";"12";"28";"0";"20";"1,0";"125";"175";"NaN";"0,0";"0,0";"0,0";"0,0"
"3676908377";"8";"153";"0";"20";"0,0";"494";"341";"NaN";"0,0";"0,0";"0,0";"0,0"
"3044906255";"11";"155";"0";"20";"3,0";"3063";"10306";"NaN";"0,0";"0,0";"0,0";"0,0"
"2732423854";"8";"0";"0";"20";"0,0";"48";"29";"NaN";"0,0";"0,0";"0,0";"0,0"
"422181213";"9";"116";"0";"20";"76,0";"123";"9401";"NaN";"0,0";"0,0";"0,0";"0,0"
"718115515";"8";"9";"0";"20";"1,0";"662";"1060";"NaN";"0,0";"0,0";"0,0";"0,0"
"635657621";"10";"98";"0";"20";"0,0";"120";"35";"NaN";"0,0";"0,0";"0,0";"0,0"
"3400350417";"10";"0";"0";"20";"1,0";"210";"371";"NaN";"0,0";"0,0";"0,0";"0,0"
"590531511";"8";"79";"0";"20";"2,0";"316";"811";"NaN";"0,0";"0,0";"0,0";"0,0"
"771714495492259800";"13";"0";"0";"20";"0,0";"66";"44";"NaN";"0,0";"0,0";"0,0";"0,0"
"3222517908";"10";"43";"0";"20";"1,0";"125";"194";"NaN";"0,0";"0,0";"0,0";"0,0"
"873219614947278800";"8";"68";"0";"20";"0,0";"121";"29";"NaN";"0,0";"0,0";"0,0";"0,0"
"2615833440";"10";"0";"0";"20";"1,0";"784";"833";"NaN";"0,0";"0,0";"0,0";"0,0"
"734476497491267600";"15";"0";"0";"20";"0,0";"218";"73";"NaN";"0,0";"0,0";"0,0";"0,0"
"821760599084376000";"13";"162";"0";"20";"19,0";"374";"7323";"NaN";"0,0";"0,0";"0,0";"0,0"
"2856913618";"12";"85";"0";"20";"2,0";"47";"120";"NaN";"0,0";"0,0";"0,0";"0,0"
"2810588964";"8";"122";"0";"20";"2,0";"301";"743";"NaN";"0,0";"0,0";"0,0";"0,0"
"3401548312";"12";"16";"0";"20";"4,0";"143";"647";"NaN";"0,0";"0,0";"0,0";"0,0"
"831134235356385300";"7";"24";"0";"20";"1,0";"523";"548";"NaN";"0,0";"0,0";"0,0";"0,0"
"723962760";"10";"102";"0";"20";"7,0";"150";"1128";"NaN";"0,0";"0,0";"0,0";"0,0"
"825756725148008400";"12";"0";"0";"20";"0,0";"237";"156";"NaN";"0,0";"0,0";"0,0";"0,0"
"3227781323";"15";"0";"0";"20";"5,0";"1920";"10107";"NaN";"0,0";"0,0";"0,0";"0,0"
"3255024310";"8";"7";"0";"20";"5,0";"244";"1450";"NaN";"0,0";"0,0";"0,0";"0,0"
"619203679";"10";"0";"0";"20";"2,0";"362";"758";"NaN";"0,0";"0,0";"0,0";"0,0"
"72264945";"10";"149";"0";"20";"1,0";"701";"1366";"NaN";"0,0";"0,0";"0,0";"0,0"
"240226030";"14";"14";"0";"20";"3,0";"645";"2567";"NaN";"0,0";"0,0";"0,0";"0,0"
"3805663773";"12";"33";"0";"20";"0,0";"34";"32";"NaN";"0,0";"0,0";"0,0";"0,0"
"1867046786";"14";"31";"0";"20";"3,0";"326";"1170";"NaN";"0,0";"0,0";"0,0";"0,0"
"806544406820094000";"9";"90";"0";"20";"3,0";"88";"323";"NaN";"0,0";"0,0";"0,0";"0,0"
"3211927487";"7";"59";"0";"20";"3,0";"22751";"79261";"NaN";"0,0";"0,0";"0,0";"0,0"
"198185729";"14";"72";"0";"20";"3,0";"247";"928";"NaN";"0,0";"0,0";"0,0";"0,0"
"140195976";"10";"127";"0";"20";"6314,0";"4";"25256";"NaN";"0,0";"0,0";"0,0";"0,0"
"3468105316";"10";"3";"0";"20";"1,0";"310";"451";"NaN";"0,0";"0,0";"0,0";"0,0"
"3033506843";"10";"44";"0";"20";"8,0";"213";"1818";"NaN";"0,0";"0,0";"0,0";"0,0"
"4685354898";"6";"56";"0";"20";"1,0";"185";"220";"NaN";"0,0";"0,0";"0,0";"0,0"
"860236811293122600";"13";"130";"0";"20";"0,0";"121";"24";"NaN";"0,0";"0,0";"0,0";"0,0"
"858601578219098100";"11";"36";"0";"20";"0,0";"69";"16";"NaN";"0,0";"0,0";"0,0";"0,0"
"2205111216";"8";"0";"0";"20";"2,0";"75";"151";"NaN";"0,0";"0,0";"0,0";"0,0"
"786785796";"15";"134";"0";"20";"0,0";"423";"414";"NaN";"0,0";"0,0";"0,0";"0,0"
"821962778";"6";"0";"0";"20";"1,0";"275";"545";"NaN";"0,0";"0,0";"0,0";"0,0"
"198294324";"12";"84";"0";"20";"1,0";"858";"978";"NaN";"0,0";"0,0";"0,0";"0,0"
"1107247382";"7";"131";"0";"20";"3,0";"349";"1377";"NaN";"0,0";"0,0";"0,0";"0,0"
"1430582702";"7";"50";"0";"20";"0,0";"944";"595";"NaN";"0,0";"0,0";"0,0";"0,0"
"790505956954308600";"15";"41";"0";"20";"0,0";"493";"169";"NaN";"0,0";"0,0";"0,0";"0,0"
"2845766001";"10";"0";"0";"20";"1,0";"331";"415";"NaN";"0,0";"0,0";"0,0";"0,0"
"733424455";"10";"72";"0";"20";"0,0";"130";"59";"NaN";"0,0";"0,0";"0,0";"0,0"
"298479928";"8";"43";"0";"20";"1,0";"290";"567";"NaN";"0,0";"0,0";"0,0";"0,0"
"3883198342";"11";"76";"0";"20";"0,0";"1254";"1207";"NaN";"0,0";"0,0";"0,0";"0,0"
"123609004";"15";"69";"0";"20";"1,0";"522";"708";"NaN";"0,0";"0,0";"0,0";"0,0"
"4472898153";"10";"148";"0";"20";"3,0";"377";"1194";"NaN";"0,0";"0,0";"0,0";"0,0"
"743016449602637800";"8";"13";"0";"20";"0,0";"361";"169";"NaN";"0,0";"0,0";"0,0";"0,0"
"4404080248";"13";"0";"0";"20";"0,0";"2836";"157";"NaN";"0,0";"0,0";"0,0";"0,0"
"3115219287";"11";"74";"0";"20";"0,0";"1605";"1027";"NaN";"0,0";"0,0";"0,0";"0,0"
"3341973453";"10";"0";"0";"20";"0,0";"149";"58";"NaN";"0,0";"0,0";"0,0";"0,0"
"615939145";"9";"45";"0";"20";"1,0";"892";"1259";"NaN";"0,0";"0,0";"0,0";"0,0"
"1589055414";"15";"101";"0";"20";"0,0";"805";"234";"NaN";"0,0";"0,0";"0,0";"0,0"
"73743719";"11";"0";"0";"20";"3,0";"52";"159";"NaN";"0,0";"0,0";"0,0";"0,0"
"793755212";"15";"0";"0";"20";"0,0";"258";"57";"NaN";"0,0";"0,0";"0,0";"0,0"
"844966478831079400";"9";"72";"0";"20";"2,0";"96";"242";"NaN";"0,0";"0,0";"0,0";"0,0"
"2953261335";"13";"19";"0";"20";"1,0";"1415";"1917";"NaN";"0,0";"0,0";"0,0";"0,0"
"797201858947387400";"10";"0";"0";"20";"0,0";"38";"15";"NaN";"0,0";"0,0";"0,0";"0,0"
"4881187810";"13";"142";"0";"20";"18,0";"80";"1486";"NaN";"0,0";"0,0";"0,0";"0,0"
"2923159343";"13";"56";"0";"20";"0,0";"664";"222";"NaN";"0,0";"0,0";"0,0";"0,0"
"518637564";"7";"132";"0";"20";"0,0";"239";"227";"NaN";"0,0";"0,0";"0,0";"0,0"
"2285748522";"9";"34";"0";"20";"3,0";"140";"543";"NaN";"0,0";"0,0";"0,0";"0,0"
"331819741";"9";"158";"0";"20";"1,0";"2408";"2562";"NaN";"0,0";"0,0";"0,0";"0,0"
"738280529829695500";"8";"20";"0";"20";"0,0";"85";"38";"NaN";"0,0";"0,0";"0,0";"0,0"
"119789058";"6";"149";"0";"20";"4,0";"569";"2448";"NaN";"0,0";"0,0";"0,0";"0,0"
"4171757957";"7";"158";"0";"20";"0,0";"475";"466";"NaN";"0,0";"0,0";"0,0";"0,0"
"1643442384";"11";"57";"0";"20";"2,0";"1457";"2928";"NaN";"0,0";"0,0";"0,0";"0,0"
"704302431023341600";"13";"155";"0";"20";"5,0";"217";"1293";"NaN";"0,0";"0,0";"0,0";"0,0"
"1294617600";"12";"0";"0";"20";"0,0";"2478";"1027";"NaN";"0,0";"0,0";"0,0";"0,0"
"15745499";"8";"0";"0";"20";"4,0";"151";"645";"NaN";"0,0";"0,0";"0,0";"0,0"
"795617975919382500";"10";"145";"0";"20";"1,0";"300";"341";"NaN";"0,0";"0,0";"0,0";"0,0"
"3239200829";"6";"18";"0";"20";"0,0";"1045";"603";"NaN";"0,0";"0,0";"0,0";"0,0"
"75318605";"9";"73";"0";"20";"4,0";"571";"2460";"NaN";"0,0";"0,0";"0,0";"0,0"
"836008039463387100";"12";"63";"0";"20";"0,0";"64";"47";"NaN";"0,0";"0,0";"0,0";"0,0"
"1329997428";"12";"59";"0";"20";"61,0";"177";"10858";"NaN";"0,0";"0,0";"0,0";"0,0"
"457634431";"5";"20";"0";"20";"2,0";"240";"656";"NaN";"0,0";"0,0";"0,0";"0,0"
"797925044";"10";"34";"0";"20";"5,0";"549";"3150";"NaN";"0,0";"0,0";"0,0";"0,0"
"731613771010068500";"11";"91";"0";"20";"4,0";"311";"1310";"NaN";"0,0";"0,0";"0,0";"0,0"
"333298403";"10";"144";"0";"20";"2,0";"45";"91";"NaN";"0,0";"0,0";"0,0";"0,0"
"739905895279251500";"10";"0";"0";"20";"0,0";"207";"82";"NaN";"0,0";"0,0";"0,0";"0,0"
"1026796656";"10";"98";"0";"20";"16,0";"419";"6912";"NaN";"0,0";"0,0";"0,0";"0,0"
"1541034643";"9";"0";"0";"20";"18,0";"1283";"23215";"NaN";"0,0";"0,0";"0,0";"0,0"
"804394062090567700";"8";"35";"0";"20";"0,0";"186";"163";"NaN";"0,0";"0,0";"0,0";"0,0"
"3003740739";"15";"77";"0";"20";"0,0";"544";"55";"NaN";"0,0";"0,0";"0,0";"0,0"
"4063200100";"9";"24";"0";"20";"10,0";"97";"1013";"NaN";"0,0";"0,0";"0,0";"0,0"
"1696236630";"14";"0";"0";"20";"0,0";"32";"15";"NaN";"0,0";"0,0";"0,0";"0,0"
"2767418790";"12";"147";"0";"20";"2,0";"1464";"3926";"NaN";"0,0";"0,0";"0,0";"0,0"
"701529047642280000";"15";"0";"0";"20";"0,0";"16";"1";"NaN";"0,0";"0,0";"0,0";"0,0"
"4699195770";"6";"55";"0";"20";"1,0";"193";"364";"NaN";"0,0";"0,0";"0,0";"0,0"
"580107253";"13";"0";"0";"20";"0,0";"59";"41";"NaN";"0,0";"0,0";"0,0";"0,0"
"1716586297";"9";"23";"0";"20";"4,0";"291";"1400";"NaN";"0,0";"0,0";"0,0";"0,0"
"719268787";"9";"59";"0";"20";"1,0";"360";"623";"NaN";"0,0";"0,0";"0,0";"0,0"
"2855123777";"11";"0";"0";"20";"15,0";"30";"457";"NaN";"0,0";"0,0";"0,0";"0,0"
"854663270439026700";"10";"53";"0";"20";"0,0";"96";"38";"NaN";"0,0";"0,0";"0,0";"0,0"
"843431021999743000";"6";"84";"0";"20";"0,0";"205";"75";"NaN";"0,0";"0,0";"0,0";"0,0"
"233893003";"11";"160";"0";"20";"6,0";"2497";"15726";"NaN";"0,0";"0,0";"0,0";"0,0"
"850545687964000300";"10";"114";"0";"20";"0,0";"87";"46";"NaN";"0,0";"0,0";"0,0";"0,0"
"3346917117";"11";"11";"0";"20";"0,0";"112";"86";"NaN";"0,0";"0,0";"0,0";"0,0"
"768898691944030200";"13";"28";"0";"20";"0,0";"264";"34";"NaN";"0,0";"0,0";"0,0";"0,0"
"4354294277";"9";"158";"0";"20";"0,0";"2060";"207";"NaN";"0,0";"0,0";"0,0";"0,0"
"716157728";"10";"25";"0";"20";"1,0";"82";"98";"NaN";"0,0";"0,0";"0,0";"0,0"
"2164756629";"11";"36";"0";"20";"0,0";"139";"65";"NaN";"0,0";"0,0";"0,0";"0,0"
"580195072";"7";"133";"0";"20";"3,0";"98";"371";"NaN";"0,0";"0,0";"0,0";"0,0"
"4317925577";"11";"84";"0";"20";"0,0";"738";"541";"NaN";"0,0";"0,0";"0,0";"0,0"
"304812988";"15";"90";"0";"20";"87,0";"12";"1054";"NaN";"0,0";"0,0";"0,0";"0,0"
"861590446769877000";"11";"0";"0";"20";"0,0";"35";"3";"NaN";"0,0";"0,0";"0,0";"0,0"
"788437307426762800";"11";"16";"0";"20";"0,0";"78";"50";"NaN";"0,0";"0,0";"0,0";"0,0"
"833984542209871900";"9";"55";"0";"20";"0,0";"370";"71";"NaN";"0,0";"0,0";"0,0";"0,0"
"609191376";"7";"141";"0";"20";"0,0";"547";"207";"NaN";"0,0";"0,0";"0,0";"0,0"
